Route,Number,Street,Zip,Date,BinStatus
RE13W02,14209,Platinum Drive,20850,3/14/2018,N
RE13W02,14229,Platinum Drive,20850,3/14/2018,N
RE13W02,14237,Platinum Drive,20850,3/14/2018,N
RE13W02,14241,Platinum Drive,20850,3/14/2018,N
RE13W02,14309,Platinum Drive,20850,3/14/2018,N
RE13W02,14313,Platinum Drive,20850,3/14/2018,N
RE13W02,14317,Platinum Drive,20850,3/14/2018,N
RE13W02,14321,Platinum Drive,20850,3/14/2018,N
RE13W02,14329,Platinum Drive,20850,3/14/2018,N
RE13W02,14302,Stoneview Pl,20850,3/14/2018,N
RE13W02,10602,Outpost Drive,20850,3/14/2018,N
RE13W02,10600,Outpost Drive,20850,3/14/2018,N
RE13W02,14224,Floral Park Drive,20850,3/14/2018,N
RE13W02,10601,Floral Park Lane,20850,3/14/2018,N
RE13W02,1,Floral Park Ct,20850,3/14/2018,N
RE13W02,6,Floral Park Ct,20850,3/14/2018,N
RE13W02,10621,Floral Park Lane,20850,3/14/2018,N
RE13W02,10628,Floral Park Lane,20850,3/14/2018,N
RE13W02,10624,Floral Park Lane,20850,3/14/2018,N
RE13W02,10620,Floral Park Lane,20850,3/14/2018,N
RE13W02,10612,Floral Park Lane,20850,3/14/2018,N
RE13W02,14200,Floral Park Drive,20850,3/14/2018,N
RE13W02,14201,Floral Park Drive,20850,3/14/2018,N
RE13W02,14225,Floral Park Drive,20850,3/14/2018,N
