"","Route","Number","Street","Zip","Date","BinStatus","Assigned"
"156","RE13W02",14523,"Pebblewood Drive",20850,"3/14/2018","N",TRUE
"157","RE13W02",14508,"Stonebridge View Drive",20850,"3/14/2018","N",TRUE
"158","RE13W02",14504,"Stonebridge View Drive",20850,"3/14/2018","N",TRUE
"159","RE13W02",14500,"Stonebridge View Drive",20850,"3/14/2018","N",TRUE
"160","RE13W02",14336,"Platinum Drive",20850,"3/14/2018","N",FALSE
"161","RE13W02",14300,"Platinum Drive",20850,"3/14/2018","N",FALSE
"162","RE13W02",14240,"Platinum Drive",20850,"3/14/2018","N",FALSE
"163","RE13W02",14209,"Platinum Drive",20850,"3/14/2018","N",FALSE
"164","RE13W02",14229,"Platinum Drive",20850,"3/14/2018","N",FALSE
"165","RE13W02",14237,"Platinum Drive",20850,"3/14/2018","N",FALSE
"166","RE13W02",14241,"Platinum Drive",20850,"3/14/2018","N",FALSE
"167","RE13W02",14309,"Platinum Drive",20850,"3/14/2018","N",FALSE
"168","RE13W02",14313,"Platinum Drive",20850,"3/14/2018","N",FALSE
"169","RE13W02",14317,"Platinum Drive",20850,"3/14/2018","N",FALSE
"170","RE13W02",14321,"Platinum Drive",20850,"3/14/2018","N",FALSE
"171","RE13W02",14329,"Platinum Drive",20850,"3/14/2018","N",FALSE
"172","RE13W02",14302,"Stoneview Pl",20850,"3/14/2018","N",FALSE
"173","RE13W02",10602,"Outpost Drive",20850,"3/14/2018","N",FALSE
"174","RE13W02",10600,"Outpost Drive",20850,"3/14/2018","N",FALSE
"175","RE13W02",14224,"Floral Park Drive",20850,"3/14/2018","N",FALSE
"176","RE13W02",10601,"Floral Park Lane",20850,"3/14/2018","N",TRUE
"177","RE13W02",1,"Floral Park Ct",20850,"3/14/2018","N",FALSE
"178","RE13W02",6,"Floral Park Ct",20850,"3/14/2018","N",FALSE
"179","RE13W02",10621,"Floral Park Lane",20850,"3/14/2018","N",TRUE
"180","RE13W02",10628,"Floral Park Lane",20850,"3/14/2018","N",TRUE
"181","RE13W02",10624,"Floral Park Lane",20850,"3/14/2018","N",TRUE
"182","RE13W02",10620,"Floral Park Lane",20850,"3/14/2018","N",TRUE
"183","RE13W02",10612,"Floral Park Lane",20850,"3/14/2018","N",TRUE
"184","RE13W02",14200,"Floral Park Drive",20850,"3/14/2018","N",FALSE
"185","RE13W02",14201,"Floral Park Drive",20850,"3/14/2018","N",FALSE
"186","RE13W02",14225,"Floral Park Drive",20850,"3/14/2018","N",FALSE
